Date,Open,High,Low,Close,Adj Close,Volume
2015-12-07,136.770004,146.529999,131.250000,146.529999,146.529999,0
2015-12-14,140.919998,143.350006,131.199997,131.199997,131.199997,0
2015-12-21,125.180000,134.690002,125.180000,128.779999,128.779999,0
2015-12-28,136.289993,143.000000,124.430000,124.430000,124.430000,0
2016-01-04,140.000000,140.000000,135.070007,138.830002,138.830002,0
2016-01-11,142.520004,145.880005,138.669998,145.029999,145.029999,0
2016-01-18,137.899994,137.899994,132.990005,133.639999,133.639999,0
2016-01-25,132.270004,132.270004,120.860001,120.860001,120.860001,0
2016-02-01,126.379997,126.379997,119.010002,119.010002,119.010002,0
2016-02-08,120.250000,122.379997,117.750000,117.750000,117.750000,0
2016-02-15,125.769997,125.769997,123.610001,123.610001,123.610001,0
2016-02-22,117.459999,122.019997,117.459999,118.650002,118.650002,0
2016-02-29,117.680000,125.269997,117.680000,125.269997,125.269997,0
2016-03-07,124.010002,130.039993,123.470001,128.990005,128.990005,0
2016-03-14,133.300003,133.300003,125.419998,126.750000,126.750000,0
2016-03-21,129.350006,130.990005,119.019997,119.019997,119.019997,0
2016-03-28,127.739998,132.610001,122.029999,124.029999,124.029999,0
2016-04-04,125.230003,125.230003,113.839996,113.839996,113.839996,0
2016-04-11,119.129997,127.129997,119.129997,123.099998,123.099998,0
2016-04-18,120.550003,127.059998,120.550003,123.250000,123.250000,0
2016-04-25,126.779999,127.400002,125.440002,126.489998,126.489998,0
2016-05-02,127.669998,127.669998,120.820000,120.820000,120.820000,0
2016-05-09,123.169998,124.099998,121.459999,121.459999,121.459999,0
2016-05-16,124.129997,125.610001,122.220001,125.610001,125.610001,0
2016-05-23,124.739998,129.610001,124.739998,129.610001,129.610001,0
2016-05-30,127.699997,134.149994,125.040001,125.040001,125.040001,0
2016-06-06,125.570000,133.669998,125.570000,133.669998,133.669998,0
2016-06-13,137.490005,142.500000,137.490005,137.940002,137.940002,0
2016-06-20,137.809998,145.699997,135.919998,142.919998,142.919998,0
2016-06-27,136.429993,153.660004,128.529999,128.529999,128.529999,0
2016-07-04,125.349998,127.199997,123.139999,127.199997,127.199997,0
2016-07-11,125.029999,129.759995,125.029999,129.759995,129.759995,0
2016-07-18,125.379997,129.919998,125.379997,128.360001,128.360001,0
2016-07-25,129.649994,130.020004,125.680000,128.250000,128.250000,0
2016-08-01,128.009995,130.600006,127.059998,130.600006,130.600006,0
2016-08-08,132.940002,135.559998,131.279999,132.130005,132.130005,0
2016-08-15,134.449997,136.710007,132.270004,136.580002,136.580002,0
2016-08-22,135.199997,135.199997,130.429993,132.399994,132.399994,0
2016-08-29,131.300003,136.139999,128.399994,128.399994,128.399994,0
2016-09-05,131.160004,131.160004,125.250000,125.250000,125.250000,0
2016-09-12,134.179993,134.179993,127.400002,130.570007,130.570007,0
2016-09-19,125.809998,126.849998,122.129997,125.129997,125.129997,0
2016-09-26,121.720001,126.849998,121.720001,124.580002,124.580002,0
2016-10-03,122.860001,122.860001,119.669998,119.949997,119.949997,0
2016-10-10,123.839996,123.839996,119.790001,121.860001,121.860001,0
2016-10-17,124.080002,124.080002,122.559998,123.000000,123.000000,0
2016-10-24,124.599998,126.349998,122.349998,126.349998,126.349998,0
2016-10-31,126.120003,141.179993,124.459999,133.029999,133.029999,0
2016-11-07,134.910004,135.600006,121.709999,121.709999,121.709999,0
2016-11-14,122.709999,126.379997,119.790001,126.379997,126.379997,0
2016-11-21,124.010002,127.980003,124.010002,126.269997,126.269997,0
2016-11-28,125.750000,128.990005,125.750000,128.990005,128.990005,0
2016-12-05,128.350006,130.919998,119.080002,119.510002,119.510002,0
2016-12-12,123.279999,131.949997,119.339996,131.949997,131.949997,0
2016-12-19,130.470001,130.470001,120.510002,120.510002,120.510002,0
2016-12-26,123.650002,127.260002,122.370003,127.260002,127.260002,0
2017-01-02,125.790001,128.210007,123.669998,123.669998,123.669998,0
2017-01-09,122.589996,132.320007,121.839996,132.320007,132.320007,0
2017-01-16,131.550003,146.330002,131.550003,146.330002,146.330002,0
2017-01-23,137.779999,138.160004,128.800003,129.949997,129.949997,0
2017-01-30,134.320007,138.080002,133.250000,133.250000,133.250000,0
2017-02-06,131.410004,134.009995,129.190002,130.470001,130.470001,0
2017-02-13,130.100006,141.410004,130.100006,141.130005,141.130005,0
2017-02-20,136.929993,138.660004,136.929993,138.660004,138.660004,0
2017-02-27,134.389999,136.100006,131.979996,136.100006,136.100006,0
2017-03-06,140.169998,140.169998,138.850006,138.990005,138.990005,0
2017-03-13,145.750000,154.339996,145.750000,154.339996,154.339996,0
2017-03-20,152.929993,152.929993,132.539993,136.619995,136.619995,0
2017-03-27,135.369995,138.839996,132.369995,138.309998,138.309998,0
2017-04-03,135.229996,135.229996,130.910004,132.699997,132.699997,0
2017-04-10,132.860001,136.660004,131.929993,134.360001,134.360001,0
2017-04-17,139.630005,148.419998,137.199997,148.419998,148.419998,0
2017-04-24,144.449997,146.979996,139.039993,146.979996,146.979996,0
2017-05-01,128.460007,131.360001,127.489998,131.360001,131.360001,0
2017-05-08,128.119995,129.649994,128.119995,129.649994,129.649994,0
2017-05-15,129.440002,137.009995,129.440002,131.389999,131.389999,0
2017-05-22,128.570007,128.570007,123.110001,125.410004,125.410004,0
2017-05-29,125.370003,125.370003,124.230003,124.230003,124.230003,0
2017-06-05,125.050003,131.259995,125.050003,131.259995,131.259995,0
2017-06-12,136.860001,136.860001,134.119995,135.020004,135.020004,0
2017-06-19,138.770004,138.770004,129.889999,132.759995,132.759995,0
2017-06-26,128.600006,129.509995,125.459999,129.509995,129.509995,0
2017-07-03,126.629997,131.580002,126.629997,131.580002,131.580002,0
2017-07-10,133.399994,138.350006,132.750000,137.710007,137.710007,0
2017-07-17,139.869995,139.869995,130.880005,134.529999,134.529999,0
2017-07-24,132.669998,140.809998,132.669998,139.910004,139.910004,0
2017-07-31,139.820007,142.020004,138.320007,139.809998,139.809998,0
